ID,Sexo,AdultoMayor,Socio,Dependientes,MesesCliente,ServicioTelefonico,LineasMultiples,ServicioInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,TransmisionTV,TransmisionPeliculas,TerminoContrato,FacturacionElectronica,MetodoPago,MontoCargadoMes,MontoCargadoTotal,Churn
ID01802,Masculino,1.0,No,No,11.0,Si,Si,DSL,Si,Si,No,No,No,No,Mes a mes,No,Tarjeta de credito (automatico),60.25,662.95,0
ID05696,Masculino,0.0,No,No,1.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Checke electronico,20.05,20.05,0
ID03166,Femenino,0.0,Si,Si,8.0,Si,No,Fibra Optica,No,No,Si,No,Si,Si,Mes a mes,Si,Checke por correo,94.2,777.3,1
ID00104,Masculino,0.0,Si,Si,50.0,No,Sin servicio telefonico,DSL,Si,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automatico),39.45,2021.35,0
ID05060,Femenino,0.0,No,No,71.0,Si,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Bianual,Si,Checke por correo,118.65,,0
ID03313,Femenino,0.0,Si,Si,35.0,Si,No,Fibra Optica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Checke por correo,106.9,3756.45,0
ID04147,Femenino,1.0,No,No,11.0,Si,Si,DSL,Si,No,No,No,No,No,Mes a mes,Si,Checke por correo,55.6,580.8,0
ID05700,Masculino,0.0,No,No,1.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Checke electronico,20.1,20.1,1
ID01972,Femenino,0.0,Si,No,32.0,Si,No,Fibra Optica,No,Si,No,No,No,Si,Mes a mes,No,Tarjeta de credito (automatico),84.15,2585.95,1
ID00184,Femenino,0.0,No,No,4.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Transferencia bancaria (automatico),20.15,68.45,0
ID01164,Masculino,0.0,Si,Si,33.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),20.1,620.55,0
ID02429,Femenino,0.0,No,No,56.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Tarjeta de credito (automatico),,1051.9,0
ID03962,Masculino,0.0,No,No,6.0,Si,No,Fibra Optica,No,Si,No,No,No,Si,Mes a mes,Si,Checke por correo,84.4,556.35,1
ID03842,Masculino,1.0,Si,No,4.0,Si,No,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke por correo,70.2,280.35,0
ID02086,Masculino,0.0,Si,No,60.0,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Mes a mes,Si,Tarjeta de credito (automatico),60.2,3582.4,0
ID02381,Femenino,0.0,No,No,36.0,No,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Bianual,No,Tarjeta de credito (automatico),31.05,1126.35,0
ID05096,Femenino,0.0,Si,Si,21.0,No,Sin servicio telefonico,DSL,Si,No,Si,No,Si,Si,Anual,Si,Checke por correo,55.95,1157.05,1
ID01765,Masculino,0.0,No,No,7.0,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Mes a mes,Si,Tarjeta de credito (automatico),98.05,713,1
ID06685,Masculino,0.0,No,No,69.0,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bianual,No,Checke electronico,90.65,6322.1,0
ID02336,Femenino,1.0,Si,Si,72.0,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),90.15,6716.45,0
ID02905,Femenino,0.0,No,No,41.0,Si,No,DSL,Si,No,Si,Si,Si,Si,Anual,Si,Tarjeta de credito (automatico),79.85,3320.75,0
ID05433,Masculino,0.0,No,Si,1.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,,Checke electronico,,19.2,0
ID01643,Femenino,0.0,Si,Si,52.0,Si,No,Fibra Optica,No,Si,Si,Si,No,No,Mes a mes,No,Tarjeta de credito (automatico),85.8,4433.3,0
ID06491,Masculino,0.0,Si,Si,63.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,,1275.85,0
ID02078,Masculino,1.0,Si,No,57.0,Si,Si,Fibra Optica,No,Si,Si,No,No,Si,Mes a mes,Si,Tarjeta de credito (automatico),95.25,5427.05,1
ID05599,Femenino,0.0,No,Si,19.0,Si,No,DSL,No,No,No,Si,No,No,Mes a mes,No,Checke electronico,48.8,953.65,0
ID00417,Masculino,1.0,No,No,32.0,Si,Si,Fibra Optica,No,No,Si,No,No,No,Mes a mes,Si,Transferencia bancaria (automatico),81.1,2619.25,0
ID03899,Femenino,0.0,No,No,5.0,Si,Si,DSL,No,Si,No,No,No,Si,Mes a mes,Si,Checke por correo,64.0,370.25,0
ID04933,Masculino,0.0,No,Si,60.0,Si,Si,DSL,Si,No,Si,Si,Si,Si,Bianual,Si,Checke por correo,84.95,4984.85,0
ID05199,Masculino,0.0,No,No,10.0,Si,No,Fibra Optica,Si,No,Si,No,Si,Si,Anual,Si,Checke por correo,98.9,1064.95,0
ID00926,Masculino,0.0,Si,No,62.0,Si,No,DSL,No,Si,Si,Si,No,No,Bianual,Si,Transferencia bancaria (automatico),60.15,3753.2,0
ID03358,Femenino,0.0,Si,Si,55.0,Si,No,DSL,Si,Si,No,No,No,No,Mes a mes,No,Checke por correo,55.7,3131.8,0
ID05847,Femenino,1.0,Si,No,1.0,Si,No,Fibra Optica,No,Si,No,No,No,No,Mes a mes,Si,Checke electronico,76.4,76.4,1
ID02052,Masculino,0.0,No,No,49.0,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Tarjeta de credito (automatico),103.7,5036.3,1
ID03003,Masculino,0.0,Si,No,61.0,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Anual,Si,Tarjeta de credito (automatico),96.5,5673.7,0
ID05094,Masculino,0.0,No,Si,17.0,Si,No,DSL,No,Si,Si,Si,Si,Si,Anual,No,Checke por correo,80.85,1445.95,0
ID00090,Femenino,0.0,No,Si,40.0,Si,No,DSL,Si,No,No,Si,Si,No,Mes a mes,Si,Transferencia bancaria (automatico),64.1,2460.35,0
ID06966,Femenino,0.0,No,No,35.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Checke electronico,20.75,700.45,0
ID03958,Masculino,0.0,Si,No,6.0,Si,Si,Fibra Optica,No,No,No,No,Si,No,Mes a mes,Si,Checke por correo,82.85,460.25,1
ID02748,Femenino,1.0,Si,Si,48.0,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Anual,No,Tarjeta de credito (automatico),29.9,1388.75,0
ID01821,Masculino,0.0,No,No,12.0,Si,Si,DSL,No,No,Si,No,Si,Si,Mes a mes,No,Tarjeta de credito (automatico),74.75,827.05,0
ID05623,Femenino,1.0,Si,Si,29.0,No,Sin servicio telefonico,DSL,No,Si,Si,No,No,No,Mes a mes,Si,Checke electronico,35.65,1025.15,0
ID04746,Masculino,1.0,Si,No,43.0,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Checke por correo,103.0,4414.3,1
ID04649,Masculino,1.0,Si,No,35.0,Si,Si,Fibra Optica,Si,Si,No,No,No,Si,Mes a mes,Si,Checke por correo,94.55,3365.4,0
ID01591,Masculino,0.0,Si,Si,27.0,Si,Si,DSL,No,No,No,Si,Si,Si,Mes a mes,No,Tarjeta de credito (automatico),71.6,1957.1,0
ID06575,Femenino,0.0,No,No,27.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,Si,Checke electronico,,561.15,0
ID02111,Masculino,0.0,Si,No,71.0,Si,Si,Fibra Optica,No,Si,Si,No,No,Si,Mes a mes,Si,Tarjeta de credito (automatico),93.25,6669.45,0
ID04181,Masculino,0.0,No,No,12.0,Si,Si,DSL,Si,Si,No,Si,No,No,Mes a mes,Si,Checke por correo,67.25,832.3,0
ID03492,Femenino,1.0,No,No,1.0,Si,No,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke por correo,69.85,69.85,1
ID04294,Masculino,1.0,Si,No,15.0,Si,Si,Fibra Optica,Si,No,Si,No,Si,No,Mes a mes,Si,Checke por correo,96.5,1392.25,0
ID03652,Femenino,0.0,No,No,2.0,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mes a mes,No,Checke por correo,51.4,96.8,0
